S.n,Visit Date,Consumer ID,Student Name,Item Taken,Quantity Taken
1,1/1/2020,C094,N/A,Feminine Products (Pads),9
2,1/1/2020,C061,N/A,Water,9
3,1/1/2020,C097,N/A,Juice,9
4,1/3/2020,C008,N/A,Cheese Crackers,13
5,1/3/2020,C100,N/A,Chunk Chicken Breast,14
6,1/5/2020,C132,N/A,Rice Crisps,12
7,1/7/2020,C051,N/A,Chicken Noodle Soup,3
8,1/7/2020,C124,N/A,Permanent marker,8
9,1/8/2020,C023,N/A,Toothpaste,6
10,1/8/2020,C131,N/A,Water,13
11,1/9/2020,C111,N/A,Black Beans,2
12,1/10/2020,C139,N/A,Softener,9
13,1/11/2020,C090,N/A,Peanut Butter,5
14,1/11/2020,C041,N/A,Makeup remover,10
15,1/11/2020,C145,N/A,Rice Crisps,12
16,1/12/2020,C072,N/A,Pear Halves,9
17,1/12/2020,C073,N/A,Rice Crisps,2
18,1/13/2020,C147,N/A,Pickles,4
19,1/13/2020,C135,N/A,Vienna Sausages,4
20,1/13/2020,C080,N/A,Cannellini Beans,8
21,1/14/2020,C146,N/A,Cereal (ind),10
22,1/14/2020,C145,N/A,Dental Floss,1
23,1/15/2020,C048,N/A,Chips/Crackers,6
24,1/16/2020,C099,N/A,Feminine Products (Tampons),5
25,1/16/2020,C114,N/A,Pickles,11
26,1/16/2020,C034,N/A,Pickles,7
27,1/18/2020,C014,N/A,Ramen,3
28,1/18/2020,C136,N/A,Chicken and Dumplings,15
29,1/19/2020,C150,N/A,Rice Krispies Treats,5
30,1/19/2020,C144,N/A,Spaghetti Noodles,13
31,1/19/2020,C033,N/A,Peanut Butter,9
32,1/20/2020,C032,N/A,Ravioli,3
33,1/20/2020,C059,N/A,Pens,7
34,1/21/2020,C003,N/A,Grits (can/package),11
35,1/24/2020,C031,N/A,Large Bag of Chips,1
36,1/24/2020,C060,N/A,Seasonings,6
37,1/24/2020,C119,N/A,Black Beans,3
38,1/25/2020,C035,N/A,Water,9
39,1/25/2020,C126,N/A,Large Bag of Chips,1
40,1/25/2020,C114,N/A,Canned Beans,9
