S.n,Day,Source,Item,Quantity,Total Weight
1,1/1/2020,Individual Donor,Toothpaste,38,0
2,1/2/2020,Individual Donor,Rice,37,0
3,1/2/2020,Community Center,Canned Vegetables,40,0
4,1/2/2020,HAFB,Toilet Paper,35,0
5,1/3/2020,MGM Non-profit,Cereal,44,0
6,1/4/2020,Local Grocery,Toothpaste,31,0
7,1/4/2020,Local Grocery,Ramen,28,0
8,1/4/2020,HAFB,Granola Bars,35,0
9,1/5/2020,University Club,Spaghetti Rings Pasta,53,0
10,1/6/2020,Local Grocery,Pencils,19,0
11,1/6/2020,University Club,Peanut Butter,31,0
12,1/7/2020,Local Grocery,Scent Booster,44,0
13,1/9/2020,Community Center,Pens,42,0
14,1/9/2020,Local Grocery,Applesauce (ind),38,0
15,1/9/2020,Individual Donor,Softener,28,0
16,1/10/2020,HAFB,Juice Boxes,33,0
17,1/11/2020,HAFB,Fruit cup,37,0
18,1/11/2020,Local Grocery,Rice,28,0
19,1/11/2020,Can Castle Contest,Ramen,42,0
20,1/11/2020,University Club,Fruit cup,40,0
21,1/11/2020,Anonymous donor,Laundry Detergent,26,0
22,1/12/2020,Local Grocery,Pasta,35,0
23,1/12/2020,University Club,Canned Vegetables,47,0
24,1/12/2020,Individual Donor,Rice,33,0
25,1/13/2020,University Club,Canned Beans,30,0
26,1/13/2020,Anonymous donor,Canned Vegetables,37,0
27,1/16/2020,University Club,Applesauce (ind),49,0
28,1/16/2020,HAFB,Toilet Paper,38,0
29,1/17/2020,University Club,Water,35,0
30,1/18/2020,HAFB,Peanut Butter Crackers,30,0
31,1/19/2020,sorority,Peanut Butter Crackers,42,0
32,1/19/2020,HAFB,Sparkling Water,38,0
33,1/21/2020,Anonymous donor,Applesauce (ind),30,0
34,1/22/2020,Homecoming Philanthropy,Shampoo,37,0
35,1/23/2020,Can Castle Contest,Peanut Butter Crackers,40,0
36,1/24/2020,Local Grocery,Toilet Paper,44,0
37,1/25/2020,Homecoming Philanthropy,Applesauce (ind),33,0
38,1/26/2020,Community Center,Canned Beans,24,0
39,1/27/2020,University Club,Laundry Detergent,38,0
40,1/28/2020,NPHC,Bar Soap,33,0
41,1/28/2020,HAFB,Cereal,44,0
42,1/28/2020,HAFB,Peanut Butter Crackers,37,0
43,1/28/2020,Local Grocery,Fruit cup,42,0
44,1/29/2020,Anonymous donor,Pasta,30,0
45,1/29/2020,Anonymous donor,Mac and Cheese,33,0
46,1/29/2020,Troy University Nursing School,Peanut Butter Crackers,31,0
47,1/29/2020,HAFB,Ramen,35,0
48,1/29/2020,HAFB,Toothpaste,38,0
